,title,artist,date,medium,dimension,image_path
145,Ange Laurent de Lalive de Jully,Style of Jean Baptiste Greuze,1759/70,Oil on canvas,"Oval, 64.3 × 53 cm (25 5/16 × 20 7/8 in.)",Dataset\Style of Jean Baptiste Greuze\ange-laurent-de-lalive-de-jully
146,Screamin' Jay Hawkins,Karl Wirsum,1968,Acrylic on canvas,121.9 × 91.4 cm (48 × 36 in.),Dataset\Karl Wirsum\screamin-jay-hawkins
147,TICK-TOCK JELLY CLOCK COSMOTRON,Bruce Conner,1961,"Wall component: wood, fabric, cardboard, wallpaper, magazine pages, stickers, string, twine, plastic film, glass fragments, mirror fragments, iron straps, grommets, nails, screws, upholstery tacks, metal foil, aluminum sheet, electrical socket, electrical wiring, rubber hose, beads, costume jewelry parts, sequins, ribbon, nylon stocking, cigarette filter, paint, graphite, bitumen, and resin on pressed hardboard; painted wood frame with mirror segments. Floor component: wood spool, fiberboard cone, paper, paint, monofilament netting, electrical plug, insulated wire, speaker, audio cable, iron wire, rings and clips, paper, yarn, and twine; 1/4 in. reel-to-reel audio tape transferred to digital format.",Wall component: 146 × 136.5 × 12.7 cm (57 1/2 × 53 3/4 × 5 in.); cone: 111.1 × 38.1 cm diameter ×  (43 3/4 × 15 in. diameter),Dataset\Bruce Conner\tick-tock-jelly-clock-cosmotron
148,Eating Out,Edouard Goerg,c. 1928,Oil on canvas,90.2 × 71.1 cm (35 1/2 × 28 in.),Dataset\Edouard Goerg\eating-out
149,Landscape: Window Overlooking the Woods,Édouard Jean Vuillard,1899,Oil on canvas,96 1/8 × 149 in. (249.2 × 378.5 cm),Dataset\Édouard Jean Vuillard\landscape-window-overlooking-the-woods
150,"Valley of Aosta: Snowstorm, Avalanche, and Thunderstorm",Joseph Mallord William Turner,1836/37,Oil on canvas,36 1/4 × 48 in. (92.2 × 123 cm),Dataset\Joseph Mallord William Turner\valley-of-aosta-snowstorm-avalanche-and-thunderstorm
151,Harmonized Region,Paul Klee,1938,Oil on burlap on cardboard,15 1/4 × 18 1/2 in. (38.7 × 47 cm),Dataset\Paul Klee\harmonized-region
152,Mrs. Henry Hill (Anna Barrett),John Singleton Copley,c. 1765/70,Pastel on paper mounted on linen,58.4 × 43.2 cm (23 × 17 in.),Dataset\John Singleton Copley\mrs-henry-hill-anna-barrett
153,The Sacrifice of Polyxena,Giulio Carpioni,c. 1650,Oil on canvas,55.7 × 71 cm (21 15/16 × 27 15/16 in.),Dataset\Giulio Carpioni\the-sacrifice-of-polyxena
154,The Temptation of Saint Jerome,Giorgio Vasari,1541/48,Oil on panel,65 1/2 × 48 in. (166.5 × 121.9 cm),Dataset\Giorgio Vasari\the-temptation-of-saint-jerome
155,Captain John Garish,John Smibert,1737,Oil on canvas,75.9 × 62.6 cm (29 7/8 × 24 5/8 in.),Dataset\John Smibert\captain-john-garish
156,"The Salt Maidens, Matsukaze with Yukihira's Coat",Chôbunsai Eishi,"Edo period, c. 1800",Hanging scroll; Ink and colors on silk,82.2 × 30.2 cm,Dataset\Chôbunsai Eishi\the-salt-maidens-matsukaze-with-yukihira-s-coat
157,In the Sea,Arnold Böcklin,1883,Oil on panel,34 3/8 × 45 3/4 in. (86.5 × 115 cm),Dataset\Arnold Böcklin\in-the-sea
158,Landscape with Tournament and Hunters,Jan van Scorel,1519–20,Oil on panel,57.8 × 138.5 cm (22 3/4 × 54 9/16 in.),Dataset\Jan van Scorel\landscape-with-tournament-and-hunters
159,The Crystal Palace,Camille Pissarro,1871,Oil on canvas,47.2 × 73.5 cm (19 × 29 in.),Dataset\Camille Pissarro\the-crystal-palace
160,Portrait of a Woman,Dutch School,c. 1655,Oil on canvas,76.9 × 64.2 cm (30 1/2 × 25 1/4 in.),Dataset\Dutch School\portrait-of-a-woman
161,A Silver Morning,George Inness,1886,Oil on canvas,114.3 × 90.2 cm (45 × 35 1/2 in.),Dataset\George Inness\a-silver-morning
162,Self-Portrait,Frédéric Bazille,1865/66,Oil on canvas,108.9 × 71.1 cm (42 7/8 × 28 3/8 in.),Dataset\Frédéric Bazille\self-portrait
163,The Combat of the Giaour and Hassan,Eugène Delacroix,1826,Oil on canvas,59.6 × 73.4 cm (23 1/2 × 28 7/8 in.),Dataset\Eugène Delacroix\the-combat-of-the-giaour-and-hassan
164,Mater Dolorosa (Sorrowing Virgin),Dieric Bouts,1480/1500,Oil on panel,38.7 × 30.3 cm (15 1/4 × 11 7/8 in.); painted surface: 37.2 × 29 cm (14 7/8 × 11 3/8 in.),Dataset\Dieric Bouts\mater-dolorosa-sorrowing-virgin
165,"Saint Salvi Church, Albi",Pierre Achille Poirot,1830/40,Oil on canvas,29.7 × 36.3 cm (11 11/16 × 14 1/4 in.),Dataset\Pierre Achille Poirot\saint-salvi-church-albi
166,Alessandro de' Medici,"Pontormo, (Jacopo Carrucci)",1534/35,Oil on panel,"35.3 × 25.8 cm; (13 7/8 × 10 1/8 in.)
Painted surface: 31.4 × 25.8 cm (12 3/8 × 10 1/8 in.)","Dataset\Pontormo, (Jacopo Carrucci)\alessandro-de-medici"
167,The Adventures of Ulysses,Apollonio di Giovanni,1435/45,Tempera on panel,42 × 131.7 cm (16 3/4 × 51 7/8 in.),Dataset\Apollonio di Giovanni\the-adventures-of-ulysses
168,Venetian Glass Workers,John Singer Sargent,1880/82,Oil on canvas,56.5 × 84.5 cm (22 1/4 × 33 1/4 in.),Dataset\John Singer Sargent\venetian-glass-workers
169,Mountain Landscape,"Joos de Momper, II",1600/25,Oil on panel,19 1/8 × 35 7/8 in. (48.5 × 91 cm),"Dataset\Joos de Momper, II\mountain-landscape"
170,Théodore Géricault on His Deathbed,Charles Emile Champmartin,1824,Oil on canvas,17 15/16 × 21 7/8 in. (45.6 × 55.6 cm),Dataset\Charles Emile Champmartin\theodore-gericault-on-his-deathbed
171,Diana and Actaeon,Jacopo Bassano,1585/92,Oil on canvas,25 × 27 in. (63.6 × 68.7 cm),Dataset\Jacopo Bassano\diana-and-actaeon
172,Seated Bather,Pierre-Auguste Renoir,1914,Oil on canvas,81.1 × 67.2 cm (31 7/8 × 26 7/8 in.),Dataset\Pierre-Auguste Renoir\seated-bather
173,Tight-Rope Walker,Jean Louis Forain,c. 1885,Oil on canvas,46.2 × 38.2 cm (18 1/8 × 15 in.),Dataset\Jean Louis Forain\tight-rope-walker
174,Portrait of a Woman,Master of the 1540s,1544,Oil on panel,40.5 × 30.5 cm (16 × 12 in.); painted surface 39.5 × 29.3 cm (15 9/16 × 11 1/2 in.),Dataset\Master of the 1540s\portrait-of-a-woman
175,Portrait of a Lady,Titian,c. 1530/60,Oil on canvas,63.5 × 51.8 cm (25 × 20 5/16 in.),Dataset\Titian\portrait-of-a-lady
176,Portrait of a Sculptor,Jean Baptiste Santerre,1700/10,Oil on canvas,81.3 × 65.4 cm (32 × 25 3/4 in.),Dataset\Jean Baptiste Santerre\portrait-of-a-sculptor
177,Mrs. Charles Gifford Dyer (Mary Anthony),John Singer Sargent,1880,Oil on canvas,62.2 × 43.8 cm (24 1/2 × 17 1/4 in.),Dataset\John Singer Sargent\mrs-charles-gifford-dyer-mary-anthony
178,"Still Life, Migianella",William Bailey,1975,Oil on canvas,80.7 × 74.9 cm (31 3/4 × 29 1/2 in.),Dataset\William Bailey\still-life-migianella
179,Untitled #59,Elmer Bischoff,1981,Oil on canvas,215.9 × 203.2 cm (85 × 80 in.),Dataset\Elmer Bischoff\untitled-59
180,The Checkered Tablecloth,Pierre Bonnard,1939,Oil on canvas,58.4 × 58.4 cm (23 × 23 in.),Dataset\Pierre Bonnard\the-checkered-tablecloth
181,Still Life with Onions,Fernando Botero,1974,Oil on canvas,137.2 × 153.7 cm (54 × 60 1/2 in.),Dataset\Fernando Botero\still-life-with-onions
182,Still Life with Fruits and Stringed Instrument,Georges Braque,1938,Oil and sand on canvas,45 × 58 in. (114.3 × 145.5 cm),Dataset\Georges Braque\still-life-with-fruits-and-stringed-instrument
183,Café Express,Richard Estes,1975,Oil on canvas,61 × 91.4 cm (24 × 36 in.),Dataset\Richard Estes\cafe-express
184,Murano Glass,Richard Estes,1976,Oil on canvas,61 × 91.4 cm (24 × 36 in.),Dataset\Richard Estes\murano-glass
185,On the Threshold of Liberty,René Magritte,February–March 1937,Oil on canvas,94 × 73 in. (238.8 × 185.4 cm),Dataset\René Magritte\on-the-threshold-of-liberty
186,Figure,Joan Miró,1932,Oil on panel,10 3/4 × 7 7/8 in. (27.3 × 20 cm),Dataset\Joan Miró\figure
187,The Two Philosophers,Joan Miró,"February 4–12, 1936",Oil on copper,14 × 19 5/8 in. (35.6 × 49.8 cm),Dataset\Joan Miró\the-two-philosophers
188,Still Life with Flowers,Odilon Redon,1905,Oil on canvas,92.7 × 65.5 cm (36 1/2 × 25 3/4 in.),Dataset\Odilon Redon\still-life-with-flowers
189,"Palm Tree, Barbados",Joseph Stella,1939,Oil on canvas,92.1 × 61.6 cm (36 1/4 × 24 1/4 in.),Dataset\Joseph Stella\palm-tree-barbados
190,Still Life with Eggs and a Leg of Mutton,French School,1780/90,Oil on canvas,79.9 × 92.2 cm (31 7/8 × 36 5/16 in.),Dataset\French School\still-life-with-eggs-and-a-leg-of-mutton
191,The Fairies,Adolphe Joseph Thomas Monticelli,1870/80,Oil on panel,49.5 × 70.6 cm (19 1/2 × 27 6/8 in.),Dataset\Adolphe Joseph Thomas Monticelli\the-fairies
192,Flowers and Fruit in a Chinese Bowl,Juan de Zurbarán,c. 1645,Oil on canvas,82.6 × 108.6 cm (32 1/2 × 42 3/4 in.),Dataset\Juan de Zurbarán\flowers-and-fruit-in-a-chinese-bowl
193,Daniel-Henry Kahnweiler,Pablo Picasso,autumn 1910,Oil on canvas,100.4 × 72.4 cm (39 9/16 × 28 9/16 in.),Dataset\Pablo Picasso\daniel-henry-kahnweiler
194,Te raau rahi (The Big Tree),Paul Gauguin,1891,Oil on jute canvas,72.5 × 91.5 cm (28 9/16 × 36 in.),Dataset\Paul Gauguin\te-raau-rahi-the-big-tree
195,"The Grand Canal, Venice",Francesco Guardi,c. 1760,Oil on canvas,73 × 119.4 cm (28 3/4 × 47 in.),Dataset\Francesco Guardi\the-grand-canal-venice
196,YO + U,Matta,1949,Oil on canvas,125.1 × 147.3 cm (49 1/4 × 58 in.),Dataset\Matta\yo-u
197,Divers on a Yellow Background,Fernand Léger,1941,Oil on canvas,186.7 × 217.8 cm (73 1/2 × 85 3/4 in.),Dataset\Fernand Léger\divers-on-a-yellow-background
198,March 1955 (Campanile),Ben Nicholson,1955,Paint and graphite on carved fiberboard,"75.1 × 41.6 cm (29 9/16 × 16 3/8 in.), unframed",Dataset\Ben Nicholson\march-1955-campanile
199,Nubian Woman,Jules Robert Auguste,1825/30,Oil on panel,34.5 × 26 cm (15 × 10 3/8 in.),Dataset\Jules Robert Auguste\nubian-woman
200,The Holy Family with Four Saints and a Female Donor,Antonio Rimpatta,c. 1510,Oil on panel,125.3 × 120 cm (49 3/8 × 47 1/4 in.),Dataset\Antonio Rimpatta\the-holy-family-with-four-saints-and-a-female-donor
201,The Poet,Hans Hofmann,1940,Oil on canvas,114.94 × 150.18 cm (45 1/4 × 59 1/8 in.),Dataset\Hans Hofmann\the-poet
202,Sammy the Tailor.,Francis William Edmonds,1836,"Oil on canvas

Man seated on a tailor's bench with his left leg crossed under his right holding a book with his left knee and left hand, and wearing a green kerchief; right arm extended to a quill in an ink pot; two papers pinned to wall at viewer's right; original frame; (frame;  SOC 4112 6/17/87) modern backing of painting mounted with two labels from frame (signs evident by light areas on frame);

Condition: (no retouching); relined","unframed: 9 3/4"" x 11 3/4""  framed: H. 17"" x  19""

24.8 x 29.9 cm; 43.2 x 48.3 cm",Dataset\Francis William Edmonds\sammy-the-tailor
203,"Conflagration of the Masonic Hall, Chestnut Street, Philadelphia, Pennsylvania",Samuel Jones,1819,Oil on mahogany panel,48.4 × 60 cm (19 1/6 × 22 1/6 in.),Dataset\Samuel Jones\conflagration-of-the-masonic-hall-chestnut-street-philadelphia-pennsylvania
204,"Amédée-David, the Comte de Pastoret",Jean Auguste Dominique Ingres,1823–26,Oil on canvas,103 × 83.5 cm (40 1/2 × 32 3/4 in.),Dataset\Jean Auguste Dominique Ingres\amedee-david-the-comte-de-pastoret
205,Stack of Wheat,Claude Monet,1890/91,Oil on canvas,65.8 × 92.3 cm (25 15/16 × 36 3/8 in.),Dataset\Claude Monet\stack-of-wheat
206,"The Hippodrome, London",Everett Shinn,1902,Oil on canvas,66.9 × 89.4 cm (26 5/16 × 35 3/16 in. ),Dataset\Everett Shinn\the-hippodrome-london
207,For Sunday's Dinner,William Michael Harnett,1888,Oil on canvas,94.3 × 53.6 cm (37 1/8 × 21 1/8 in.),Dataset\William Michael Harnett\for-sunday-s-dinner
208,The Seine at Vernonnet,Pierre Bonnard,c. 1930,Oil on canvas,42 1/2 × 42 1/2 in. (108 × 108 cm),Dataset\Pierre Bonnard\the-seine-at-vernonnet
209,"Panthea, Cyrus, and Araspas",Laurent de La Hyre,1631-34,Oil on canvas,55 7/8 × 40 1/8 in. (141.9 × 102 cm),Dataset\Laurent de La Hyre\panthea-cyrus-and-araspas
210,"Democritus, the Laughing Philosopher",Spanish School,c. 1630,Oil on canvas,34 1/2 × 29 1/2 in.,Dataset\Spanish School\democritus-the-laughing-philosopher
211,"Heraclitus, the Weeping Philosopher",Spanish School,c. 1630,Oil on canvas,34 1/2 × 29 1/2 in.,Dataset\Spanish School\heraclitus-the-weeping-philosopher
212,The Basket of Apples,Paul Cezanne,about 1893,Oil on canvas,65 × 80 cm (25 7/16 × 31 1/2 in.),Dataset\Paul Cezanne\the-basket-of-apples
213,The Adoration of the Magi,Cornelis Engelbrechtsz.,1515/25,Oil on panel,"28.2 × 35.6 cm (11 3/16 × 14 in.)
Painted surface: 27.7 × 34.9 cm (10 7/8 × 13 3/4 in.)",Dataset\Cornelis Engelbrechtsz.\the-adoration-of-the-magi
214,The Child's Bath,Mary Cassatt,1893,Oil on canvas,100.3 × 66.1 cm (39 1/2 × 26 in.),Dataset\Mary Cassatt\the-child-s-bath
215,"Retable of Saints Athanasius, Blaise, and Agatha",Master of Riglos,1440/45,Tempera on panel,"Christ on the Cross: 69.8 × 81.2 cm (27 1/2 × 32 in.)
Painted surface: 61 × 73 cm (24 1/2 × 28 3/4 in.)
Coronation of the Virgin: 87.4 × 80.3 cm (34 3/8 × 31 5/8 in.)
Painted surface: 87.3 × 73 cm (34 × 28 3/4 in.)
Scenes from the Life of Saint Blaise: 154.3 × 69.8 cm (60 3/4 × 27 1/2 in.)
Painted surface: 125.7 × 66 cm (49 1/2 × 26 in.)
Saint Athanasius: 128.6 × 82 cm (50 5/8 × 32 1/4 in.)
Painted surface: 124.7 × 73.7 cm (49 1/8 × 29 in.)
Scenes from the Life of Saint Agatha: 154.5 × 69.8 cm (60 3/4 × 27 1/2 in.)
Painted surface: 127 × 66 cm (50 × 26 in.)",Dataset\Master of Riglos\retable-of-saints-athanasius-blaise-and-agatha
216,Christ Carrying the Cross,Master of the Freising Visitation,c. 1490,Oil on panel,"42 5/8 × 38 9/16 in. (108.4 × 98 cm )
Painted surface: 41 3/4 × 38 3/16 in. (106 × 97 cm)",Dataset\Master of the Freising Visitation\christ-carrying-the-cross
217,Virgin and Child,Jan Gossart,about 1520,Oil on panel,21 × 15 7/8 in. (53.4 × 40.2 cm),Dataset\Jan Gossart\virgin-and-child
218,The Raising of Lazarus,Follower of Rembrandt van Rijn,1630/35,Oil on panel,43.5 × 36.8 cm (17 1/8 × 14 1/2 in.),Dataset\Follower of Rembrandt van Rijn\the-raising-of-lazarus
219,Portrait of Dr. William McNeill Whistler,James McNeill Whistler,1871/73,Oil on panel,43.7 × 34.8 cm (17 3/16 × 13 11/16 in.),Dataset\James McNeill Whistler\portrait-of-dr-william-mcneill-whistler
220,Boy on a Ram,Francisco José de Goya y Lucientes,1786/87,Oil on canvas,127.2 × 112.1 cm (50 1/16 × 44 1/8 in.),Dataset\Francisco José de Goya y Lucientes\boy-on-a-ram
221,The Garden of Palazzo Contarini dal Zaffo,Francesco Guardi,late 1770s,Oil on canvas,48 × 78 cm (19 × 30 5/8 in.),Dataset\Francesco Guardi\the-garden-of-palazzo-contarini-dal-zaffo
222,Going to Market,Rosa Bonheur,1851,Oil on canvas,19 × 27 1/16 in. (48.2 × 68.2 cm),Dataset\Rosa Bonheur\going-to-market
223,The Temptation of the Magdalene,Jacob Jordaens,c. 1616/17,Oil on panel,49 11/16 × 38 1/4 in. (126.2 × 96.8 cm),Dataset\Jacob Jordaens\the-temptation-of-the-magdalene
224,Portrait of a Man,Nicolaes Maes,1650/60,Oil on panel,30.5 × 26.5 cm (12 × 10 1/2 in.),Dataset\Nicolaes Maes\portrait-of-a-man
225,The Destruction of Pharaoh's Army,"Philippe Jacques de Loutherbourg, II",1792,Oil on canvas,50 × 40 1/2 in. (127 × 102.3 cm),"Dataset\Philippe Jacques de Loutherbourg, II\the-destruction-of-pharaoh-s-army"
226,Family Group on a Terrace,"John Theodore Heins, Sr.",c. 1740,Oil on canvas,94.6 × 120.6 cm (37 1/2 × 47 1/2 in.),"Dataset\John Theodore Heins, Sr.\family-group-on-a-terrace"
227,Cabin in the Cotton,Horace Pippin,c. 1931–37,Oil on cotton mounted on Masonite,51 × 85 cm (20 × 33 1/2 in.),Dataset\Horace Pippin\cabin-in-the-cotton
228,The Battle of Zama,Cornelis Cort,after 1567,Oil on panel,23 1/4 × 16 13/16 in. (59 × 42.7 cm),Dataset\Cornelis Cort\the-battle-of-zama
229,Portrait II,Philip Guston,1965,Oil on canvas,165.1 × 198.1 cm (65 × 78 in.),Dataset\Philip Guston\portrait-ii
230,The Abduction of the Sabine Women,Luca Giordano,1675/80,Oil on canvas,102 × 116 in. (260 × 295 cm),Dataset\Luca Giordano\the-abduction-of-the-sabine-women
231,The Crucifixion,Carlo Crivelli,c. 1487,Tempera on panel,75 × 55.2 cm (29 1/2 × 21 3/4 in.); image (arched): 74 × 55.2 cm (29 1/8 × 21 3/4 in.),Dataset\Carlo Crivelli\the-crucifixion
232,A Clump of Trees,Constant Troyon,c. 1860,Oil on canvas,33 × 24.9 cm (13 × 9 7/8 in.),Dataset\Constant Troyon\a-clump-of-trees
233,Spain,Francisco Domingo y Marqués,1878,Oil on wood,21.9 × 27.9 cm (8 5/8 × 10 5/8 in.),Dataset\Francisco Domingo y Marqués\spain
234,Cavalier,Mariano Fortuny y Marsal,c. 1871,Oil on wood,13.7 × 10.2 cm (5 3/8 × 4 in.),Dataset\Mariano Fortuny y Marsal\cavalier
235,Portrait of Mrs. Charles L. Hutchinson,Jules-Élie Delaunay,1890,Oil on canvas,78.9 × 60 cm. (31 1/16 × 23 5/8 in.),Dataset\Jules-Élie Delaunay\portrait-of-mrs-charles-l-hutchinson
236,Nighthawks,Edward Hopper,1942,Oil on canvas,84.1 × 152.4 cm (33 1/8 × 60 in.),Dataset\Edward Hopper\nighthawks
237,Self-Portrait,Beauford Delaney,1944,Oil on canvas,68.6 × 57.2 cm (27 × 22 1/2 in.),Dataset\Beauford Delaney\self-portrait
238,The Church of Overschie,Johan Barthold Jongkind,1866,Oil on canvas,30.5 × 50.8 cm (12 × 20 in.),Dataset\Johan Barthold Jongkind\the-church-of-overschie
239,Old Testament Figures in Paradise,Don Francisco Bayeu y Subías,1751/60,Oil on canvas,16 1/8 × 39 1/2 in. (41 × 100.3 cm),Dataset\Don Francisco Bayeu y Subías\old-testament-figures-in-paradise
240,Douarnenez in Sunshine,Maxime Maufra,1897,Oil on canvas,59.7 × 73.7 cm (23 1/2 × 29 in.),Dataset\Maxime Maufra\douarnenez-in-sunshine
241,Coney Island,Joseph Delaney,1932,Oil on canvas,47.6 × 61 cm (18 × 24 in.),Dataset\Joseph Delaney\coney-island
242,A Boy Named Alligator,Kathleen Blackshear,1930,Oil on canvas,56.2 × 46 cm (22 1/8 × 18 1/8 in.),Dataset\Kathleen Blackshear\a-boy-named-alligator
243,Queen Margaret of Spain,Andrés  López  López Polanco,c. 1610,Oil on canvas,210.6 × 109.3 cm (82 7/8 × 43 in.),Dataset\Andrés  López  López Polanco\queen-margaret-of-spain
244,Portrait of a Lady,"Michele Tosini, called Michele di Ridolfo",1550/60,Oil on panel,55.8 × 42.7 cm (22 × 16 3/4 in.),"Dataset\Michele Tosini, called Michele di Ridolfo\portrait-of-a-lady"
245,Domestic Abstraction,Tony Tasset,1987,"Hide, painted wood frame",71.1 × 81.3 × 5.1 cm (28 × 32 × 2 in.),Dataset\Tony Tasset\domestic-abstraction
246,The Awakening of the Forest,Paul Delvaux,1939,Oil on canvas,67 × 88 3/4 in. (170.2 × 225.4 cm),Dataset\Paul Delvaux\the-awakening-of-the-forest
247,The Rape of Europa,"David Teniers, the younger",1654/56,Oil on panel,21.5 × 31.3 cm (8 7/16 × 12 5/16 in.),"Dataset\David Teniers, the younger\the-rape-of-europa"
248,Woman Feeding Chickens,Jean François Millet,1846/48,Oil on canvas,45.8 × 38.2 cm (18 1/4 × 15 in.),Dataset\Jean François Millet\woman-feeding-chickens
249,The Rape of Europa,"David Teniers, the younger",1654/56,Oil on panel,21.3 × 31.5 cm (8 3/8 × 12 3/8 in.),"Dataset\David Teniers, the younger\the-rape-of-europa"
250,Peasants Bringing Home a Calf Born in the Fields,Jean François Millet,1864,Oil on canvas,31 15/16 × 39 3/8 in. (81.1 × 100 cm),Dataset\Jean François Millet\peasants-bringing-home-a-calf-born-in-the-fields
251,Abraham's Sacrifice of Isaac,"David Teniers, the younger",1654/56,Oil on panel,20.9 × 30.7 cm (8 1/4 × 12 1/8 in.),"Dataset\David Teniers, the younger\abraham-s-sacrifice-of-isaac"
252,On Guard,Antoine Auguste Ernest Hébert,1860/70,Oil on canvas,47.6 × 36.5 cm (18 3/4 × 14 3/8 in.),Dataset\Antoine Auguste Ernest Hébert\on-guard
253,Women of the Ouled Nayls,Eugène Fromentin,1867,Oil on canvas,110.2 × 72.4 cm (43 3/8 × 28 1/2 in.),Dataset\Eugène Fromentin\women-of-the-ouled-nayls
254,The Policeman,Joan Miró,1925,Oil on canvas,248 × 194.9 cm (97 5/8 × 76 3/4 in.),Dataset\Joan Miró\the-policeman
255,The Apple Market,Stanislas Lépine,c. 1880,Oil on canvas,46.5 × 65.5 cm (17 5/8 × 25 in.),Dataset\Stanislas Lépine\the-apple-market
256,Pardon in Brittany,Gaston La Touche,1896,Oil on canvas,100.5 × 110.5 cm (39 9/16 × 43 1/2 in.),Dataset\Gaston La Touche\pardon-in-brittany
257,Saint Sebastian,Pedro Girard,1490/1500,Tempera on panel,67 × 49 1/2 in. (170.2 × 125.7 cm); painted surface: 58 1/4 × 41 3/4 in. (148 × 106 cm),Dataset\Pedro Girard\saint-sebastian
258,"Frame-Theory, the Artificial Blossom, or the Blind Man's Bluff",Margaret Wharton,1991,"Book, concrete, wood, and artificial leaves",53.3 × 57.2 cm (21 × 22 1/2 in.),Dataset\Margaret Wharton\frame-theory-the-artificial-blossom-or-the-blind-man-s-bluff
259,Virgin and Child,Circle of Adriaen Isenbrant,1520/50,Oil on panel,"46.7 × 31.3 cm (18 3/8 × 12 5/16 in.)
Painted surface: 45.4 × 30.2 cm (17 7/8 × 11 3/4 in.)",Dataset\Circle of Adriaen Isenbrant\virgin-and-child
260,Fleeing Ghost,Paul Klee,1929,Oil on canvas,35 1/4 × 25 in. (89.5 × 63.5 cm),Dataset\Paul Klee\fleeing-ghost
261,Strange Glance,Paul Klee,1930,Oil on canvas,25 3/4 × 15 in. (65.4 × 38.1 cm),Dataset\Paul Klee\strange-glance
262,In the Magic Mirror,Paul Klee,1934,"Oil on canvas, on board",26 × 19 3/4 in. (66 × 50 cm),Dataset\Paul Klee\in-the-magic-mirror
263,Festival in Piazza Navona,Giovanni Paolo Panini,1729,Oil on canvas,26.8 × 45 cm (10 9/16 × 17 3/4 in.),Dataset\Giovanni Paolo Panini\festival-in-piazza-navona
